T,s,p,q
1761315930137,ETHUSDT,3903.80000000,0.00140000
1761315930137,ETHUSDT,3903.80000000,0.00140000
1761315930137,ETHUSDT,3903.80000000,0.00140000
1761315930137,ETHUSDT,3903.75000000,0.00140000
1761315930137,ETHUSDT,3903.74000000,0.00130000
1761315930137,ETHUSDT,3903.74000000,0.00160000
1761315930137,ETHUSDT,3903.74000000,0.00130000
1761315930137,ETHUSDT,3903.74000000,0.00140000
1761315930137,ETHUSDT,3903.73000000,0.00140000
1761315930137,ETHUSDT,3903.71000000,0.12810000
1761315930137,ETHUSDT,3903.71000000,0.00140000
1761315930137,ETHUSDT,3903.71000000,0.00150000
1761315930137,ETHUSDT,3903.71000000,0.00150000
1761315930137,ETHUSDT,3903.69000000,0.01000000
1761315930137,ETHUSDT,3903.69000000,0.00150000
1761315930137,ETHUSDT,3903.69000000,0.00140000
1761315930137,ETHUSDT,3903.69000000,0.00150000
1761315930137,ETHUSDT,3903.67000000,0.00140000
1761315930137,ETHUSDT,3903.66000000,0.00140000
1761315930137,ETHUSDT,3903.66000000,0.00140000
1761315930137,ETHUSDT,3903.66000000,0.00140000
1761315930137,ETHUSDT,3903.66000000,0.00140000
1761315930137,ETHUSDT,3903.65000000,0.05130000
1761315930137,ETHUSDT,3903.65000000,0.01300000
1761315930137,ETHUSDT,3903.65000000,0.24310000
1761315930137,ETHUSDT,3903.65000000,0.00150000
1761315930137,ETHUSDT,3903.65000000,0.00150000
1761315930141,ETHUSDT,3903.61000000,0.00300000
1761315930153,ETHUSDT,3903.61000000,0.00200000
1761315930177,ETHUSDT,3903.62000000,0.05120000
1761315930190,ETHUSDT,3903.61000000,0.00010000
1761315930190,ETHUSDT,3903.61000000,0.00140000
1761315930190,ETHUSDT,3903.61000000,0.00050000
1761315930208,ETHUSDT,3903.62000000,0.06780000
1761315930209,BTCUSDT,109820.96000000,0.00004000
1761315930214,ETHUSDT,3903.62000000,0.00380000
1761315930215,BTCUSDT,109820.95000000,0.00729000
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.95000000,0.00005000
